CAS,Element,Mass,Dipole Moment,Polarizability,PA,IE
1195-79-5,Fenchone,152.23,3.097,16.6014,207.11,8.55
1632-73-1,Fenchol,154.25,1.4622,17.0469,198.48,9.15
18409-17-1,Trans-2-octen-1-ol,128.21,1.737,15.5912,203.08,8.94
1825-21-4,Pentachloroanisole,280.35,2.1192,22.2201,180.35,8.95
7783-06-04,Hydrogen Sulfide,34.08,0.99,3.71,169.1,10.4
74-93-1,Methanethiol,48.11,1.56,5.55,186.1,9.4
1975-08-01,Ethanethiol,62.14,1.68,7.43,190.6,9.2
75-18-3,Dimethyl Sulfide,62.14,1.6,7.46,199.3,8.6
352-93-2,Diethyl Sulfide,90.19,1.64,11.34,206.3,8.3
624-92-0,Dimethyl Disulfide,94.2,2.03,10.79,193.7,8.1
110-81-6,Diethyl Disulfide,122.3,2.15,14.67,197.8,7.9
1534-08-03,Methyl thioacetate,90.15,1.36,9.64,198.5,9.1
51755-83-0,3-Mercaptohexan-1-ol,134.24,1.68,15.43,196.6,8.6
19872-52-7,4-Mercapto-4-methylpentan-2-one,132.23,2.27,14.86,198.2,8.5
255391-65-2,4-Mercapto-4-methylpentan-2-ol,134.24,2.53,15.34,204.7,8.5
95-16-9,Benzothiazole,135.19,1.34,15.91,220.7,8.6
1998-02-02,2-Furanmethanethiol,114.17,1.94,12.81,199.1,8.1
60-24-2,2-mercaptoethanol,78.14,2.5,8.14,193.4,9
100-53-8,Benzenemethanethiol,124.21,1.48,15.74,195.3,8.3
5862-40-8,2-mercaptoethyl-acetate,120.17,1.83,11.91,199.2,9.1
26473-61-0,3-mercaptopropyl-acetate,134.2,1.61,13.97,199.6,9
75100-46-8,"cis-3,6-dimethyl-1,2,4,5-tetrathiane",184.4,0,19.83,196.1,8
5287-45-6,prenyl-mercaptan,102.2,1.78,13.35,198.2,8.1
75100-47-9,"trans-3,6-dimethyl1,2,4,5-tetrathiane",184.4,0,19.11,195.3,8.3
28588-74-1,2-Methyl-3-furanthiol,114.17,0.9,12.47,190.3,7.7
149834-43-5,2-methylthiolane-3-ol,118.2,2.12,12.71,207.5,8.2
34300-94-2,3-Mercapto-3-methylbutan-1-ol,120.22,1.84,13.52,197.7,8.6
5466-06-08,ethyl-3-mercaptopropionate,134.2,2.76,13.91,196.7,8.9
137-00-8,5-2-hydroxyethyl-4-methylthiazole,143.21,2.79,15.29,229.7,8.1
13679-85-1,2-Methyltetrahydrothiophen-3-one,116.18,1.72,12.14,196.1,8.6
0505-10-02,3-Methylsulfanylpropan-1-ol,106.19,3.06,12.03,203.1,8.4
136954-20-6,3-Mercaptohexylacatate,176.28,1.47,19.32,194.9,8.8
625-60-5,ethylthioacetate,104.17,1.41,11.57,201.2,9
109-08-0,2-methylpyrazine,94.11,0.65,10.32,,
13925-00-3,2-ethylpyrazine,108.14,0.72,12.15,,
13925-07-0,"2-ethyl-3,5-dimethylpyrazine",136.19,0.57,16.07,,
108-50-9,"2,6-dimethylpyrazine",108.14,0.72,12.24,,
123-32-0,"2,5-dimethylpyrazine",108.14,0,12.34,,
14667-55-1,"2,3,5-trimethylpyrazine",122.17,0.65,14.23,,
1124-11-09,"2,3,5,6-tetramethylpyrazine",136.19,0,16.18,,
106-98-9,1-butene,56.11,0.35,7.52,,
78-79-5,isoprene,68.12,0.25,10.22,,
108-88-3,toluene,92.14,0.34,12.9,,
75-07-0,acetaldehyde,44.05,2.65,4.3,,
64-17-5,ethanol,46.07,1.53,4.53,,
67-64-1,acetone,58.08,2.29,6.09,,
123-38-6,propanal,58.08,2.75,6.13,,
108-95-2,phenol,94.11,1.34,11.73,,
2043-61-0,cyclohexanal,112.17,1.51,11.32,,
100-52-7,Benzaldehyde,106.12,3.28,10.06,,
106-36-5,propyl propanoate,116.16,1.79,14.2,,
105-54-4,ethylbutanoate,116.16,1.74,14.2,,
109-21-7,butyl butanoate,144.21,2.12,17.2,,
107-92-6,N-butyric acid,88.11,1.8,10,,
513-86-0,3-hydroxybutanone,88.11,2.6,8.8,,
557-31-3,allyl ethyl ether,86.13,1.2,10.7,,
127-17-3,pyruvic acid,88.06,2.3,6.6,,
97-53-0,eugenol,164.2,2.5,19.3,,
103-26-4,methyl cinnamate,162.18,1.9,19.2,,
119-61-9,Benzophenone,182.22,3.23,22.75,216.25,8.68
22583-75-1,Benzophenone-d10,192.28,3.23,22.75,216.38,8.68
1137-42-4,4-hydroxybenzophenone,198.22,2.48,23.95,219.52,8.37
25913-05-7,4-fluoro-4hydroxybenzophenone,216.21,3.95,23.97,218.41,8.58
131-58-8,2-methylbenzophenone,196.24,3.37,24.27,216.94,8.56
117-99-7,2-hydroxybenzophenone,198.22,4.26,23.39,218.57,8.39
643-65-2,3-methylbenzophenone,196.24,3.62,24.73,217.95,8.51
134-84-9,4-methylbenzophenone,196.24,3.53,25.08,219.67,8.49
2128-93-0,4-phenylbenzophenone,258.3,3.32,33.22,225.52,8.55
131-57-7,2-hydroxy-4-methoxybenzophenone,228.24,4.29,26.74,191.45,8.05
606-28-0,methyl-2-benzoylbenzoate,240.25,4.46,27.04,216.81,8.63
1143-72-2,"2,3,4-trihydroxybenzophenone",230.22,4.49,25.13,186.24,8.13
131-53-3,"2,2-dihydroxy-4-methoxybenzophenone",244.24,5.59,27.35,217.36,7.88
85-19-8,5-chloro-2-hydroxybenzophenone,232.66,2.41,25.91,211.88,8.33
84-66-2,diethyl phthalate,222.24,3.67,23.16,202.56,9.05
120-51-4,benzyl benzoate,212.24,2.34,25.05,205.94,8.87
84-69-5,disobutyl phthalate,278.34,3.82,30.49,204.78,8.99
84-74-2,dibutyl phthalate,278.34,3.96,30.17,204.61,9.03
117-82-8,bis (2-methoxyethyl) phthalate,282.29,4.9,28.19,220.65,8.68
605-54-9,bis (2-ethoxyethyl) phthalate,310.34,3.85,31.98,209.44,8.56
131-11-3,dimethyl phthalate,194.18,3.38,19.42,199.15,9.16
947-19-3,1-Hydroxycyclohexyl Phenyl Ketone,204.26,1.4,22.88,208.53,8.65
525-82-6,Flavone,222.24,4.49,28.11,226.91,8.28
131-18-0,dipentyl phthalate,306.4,3.79,33.74,204.59,9.01
85-68-7,benzyl butyl phthalate,312.4,3.87,35.31,205.19,8.6
84-63-9,Bis (4-methyl-2-pentyl) phthalate,334.4,0.84,37.36,213.97,8.9
84-75-3,Di-n-hexyl phthalate,334.4,3.92,37.61,217.23,9.11
117-83-9,Bis (2-n-butoxyethyl) phthalate,366.4,3.24,39.74,224.77,8.58
84-61-7,dicyclohexyl phthalate,330.4,3.66,35.99,213.13,8.85
117-81-7,di(2-ethylhexyl) phthalate,390.6,4.91,44.47,217.94,8.88
